"id","key","title","created_at","updated_at","is_deleted","deleted_at"
"1","contact","Поделитесь контактом или напишите другой номер, пример: 998 90 123 45 67","2022-10-26 05:13:07.647851","2022-10-26 05:13:07.647862","0",NULL
"2","contact_error","Введите правильный номер телефона, пример: 998 90 123 45 67","2022-10-26 05:13:07.648654","2022-10-26 05:13:07.648664","0",NULL
"3","select_region","Выберите регион","2022-10-26 05:13:07.649356","2022-10-26 05:13:07.649366","0",NULL
"4","format_error","Неверный формат ввода","2022-10-26 05:13:07.649881","2022-10-26 05:13:07.649891","0",NULL
"5","select_shop","Выберите магазин","2022-10-26 05:13:07.650348","2022-10-26 05:13:07.650357","0",NULL
"6","select_department","Выберите отдел","2022-10-26 05:13:07.650826","2022-10-26 05:13:07.650836","0",NULL
"7","select_problem","Выберите проблему","2022-10-26 05:13:07.651388","2022-10-26 05:13:07.651397","0",NULL
"8","select_disparity","Выберите несоответствие","2022-10-26 05:13:07.651862","2022-10-26 05:13:07.651872","0",NULL
"9","upload_photo","Загрузите фото 📎","2022-10-26 05:13:07.652345","2022-12-05 06:30:04.505031","0",NULL
"10","write_comment","Напишите комментарий","2022-10-26 05:13:07.652813","2022-10-26 05:13:07.652822","0",NULL
"11","cancel_app","Ваша заявка отменена","2022-10-26 05:13:07.653265","2022-10-26 05:13:07.653274","0",NULL
"12","confirm_app","Ваша заявка принята","2022-10-26 05:13:07.653722","2022-10-26 05:13:07.653731","0",NULL
"13","create_more_app","Отправим еще? =)","2022-10-26 05:13:07.654173","2022-10-26 05:13:07.654183","0",NULL
"14","hello","Привет 👋","2022-10-26 05:13:07.654655","2022-10-26 05:13:07.654665","0",NULL
"15","error400","Ошибка в запросе, обратитесь к администраторам","2022-10-26 05:13:07.655213","2022-10-26 05:13:07.655222","0",NULL
"16","help","Информация о помощи","2022-11-09 06:23:24.087263","2022-11-09 06:23:24.087282","0",NULL
"17","commands_violation","/violation_","2022-11-09 06:42:30.178114","2022-11-09 06:42:30.178124","0",NULL
"18","violation_response_description","Оставьте комментарий к нарушению","2022-11-09 10:41:34.953042","2022-11-09 10:41:34.953064","0",NULL
"19","violation_permission_error","Вы не можете ответить на данное нарушение ❌","2022-11-09 11:42:40.754666","2022-11-09 11:44:24.824964","0",NULL
"20","violation_permission_ok","Ваш ответ на данное нарушение отправлен ✅","2022-11-09 11:43:35.293614","2022-11-09 11:44:10.346924","0",NULL
