"4","Фрукты и овощи","2020-11-30 00:18:10","2020-11-30 00:18:10",NULL
"5","Хлебобулочные и выпечка","2020-11-30 00:18:16","2020-11-30 00:18:16",NULL
"6","Молочные продукты и яйца","2020-11-30 00:18:31","2020-11-30 00:18:31",NULL
"7","Готовая продукция","2020-11-30 00:26:30","2020-11-30 00:26:30",NULL
"8","Замороженные продукты","2020-11-30 00:26:35","2020-11-30 00:26:35",NULL
"9","Кондитерские изделия","2020-11-30 00:26:40","2020-11-30 00:26:40",NULL
"10","Консервация, специи и добавки","2020-11-30 00:26:45","2020-11-30 00:26:45",NULL
"11","Детское, диабет. и спортивное питание","2020-11-30 00:26:51","2020-11-30 00:26:51",NULL
"12","Чай, кофе и какао","2020-11-30 00:26:55","2020-11-30 00:26:55",NULL
"13","Напитки и снеки","2020-11-30 00:27:00","2020-11-30 00:27:00",NULL
"14","Бакалея соль","2020-11-30 00:27:05","2020-11-30 00:27:05",NULL
"15","Текстиль, обувь и галантерея","2020-11-30 00:27:10","2020-11-30 00:27:10",NULL
"16","Хозяйственные товары","2020-11-30 00:27:15","2020-11-30 00:27:15",NULL
"17","Культура, обучение и досуг","2020-11-30 00:27:19","2020-11-30 00:27:19",NULL
"18","Животные и огород","2020-11-30 00:27:24","2020-11-30 00:27:24",NULL
"19","Активный отдых и праздники","2020-11-30 00:27:28","2020-11-30 00:27:28",NULL
"20","Бытовая химия","2020-11-30 00:27:33","2020-11-30 00:27:33",NULL
"21","Косметика и гигиена","2020-11-30 00:27:37","2020-11-30 00:27:37",NULL
"22","Касса","2020-11-30 00:27:42","2020-11-30 00:27:42",NULL
"23","Входная группа","2020-11-30 00:27:47","2020-11-30 00:27:47",NULL
"24","Мясо животных","2021-01-22 10:43:31","2021-01-22 10:43:31",NULL
