"1","отсутствие в ассортименте","2020-11-30 00:26:14","2020-11-30 00:26:14",NULL,"1"
"2","отсутствие на полке","2020-11-30 00:26:21","2020-11-30 00:26:14",NULL,"1"
"3","недостаточно выложено","2020-11-30 00:26:23","2020-11-30 00:26:23",NULL,"1"
"4","отсутствие ценника","2020-11-30 00:30:03","2020-11-30 00:30:03",NULL,"2"
"5","разница в цене","2020-11-30 00:30:13","2020-11-30 00:30:13",NULL,"2"
"6","не товарный вид","2020-11-30 00:30:22","2020-11-30 00:30:22",NULL,"3"
"10","нарушена целостность упаковки","2020-11-30 00:30:30","2020-11-30 00:30:30",NULL,"3"
"11","просроченный товар","2020-11-30 00:30:10","2020-11-30 00:30:10",NULL,"3"
"12","не чистая парковка","2020-11-30 00:30:16","2020-11-30 00:30:16",NULL,"4"
"13","не чистые урны","2020-11-30 00:30:22","2020-11-30 00:31:01",NULL,"4"
"11","не чистые тележки","2020-11-30 00:31:26","2020-11-30 00:31:26",NULL,"4"
"12","не чистое торговое оборудование","2020-11-30 00:31:33","2020-11-30 00:31:33",NULL,"4"
"13","не чистое кассовое оборудование","2020-11-30 00:31:11","2020-11-30 00:31:11",NULL,"4"
"14","не чистый производственный инвентарь","2020-11-30 00:31:21","2020-11-30 00:31:21",NULL,"4"
"15","не чистый товар","2020-11-30 00:31:25","2020-11-30 00:31:25",NULL,"4"
"16","не чистый пол","2020-11-30 00:32:03","2020-11-30 00:32:03",NULL,"4"
"20","не чистая форма сотрудника","2020-11-30 00:32:13","2020-11-30 00:32:13",NULL,"4"
"21","не достаточно знаний о товаре","2020-11-30 00:32:25","2020-11-30 00:32:25",NULL,"5"
"22","не достаточно знаний о расположении отделов","2020-11-30 00:32:33","2020-11-30 00:32:33",NULL,"5"
"23","не приветливый сотрудник торг.зала","2020-11-30 00:32:11","2020-11-30 00:32:11",NULL,"5"
"21","не приветливый кассир","2020-11-30 00:32:21","2020-11-30 00:32:21",NULL,"5"
"22","не достаточно знаний о сист.лояльности","2020-11-30 00:33:02","2020-11-30 00:33:02",NULL,"5"
"23","не приветливый охранник","2020-11-30 00:33:10","2020-11-30 00:33:10",NULL,"5"
"24","не хватило тележки, корзины","2020-11-30 00:33:25","2020-11-30 00:33:25",NULL,"6"
"25","полом оборудования","2020-11-30 00:33:35","2020-12-06 06:34:24",NULL,"6"
"26","не горит все освещение","2020-11-30 00:33:14","2020-11-30 00:33:14",NULL,"6"
"30","навигация торгового зала","2020-11-30 00:33:22","2020-11-30 00:33:22",NULL,"6"
"31","визуальное оформление","2020-11-30 00:31:02","2020-11-30 00:31:02",NULL,"6"
"32","отсутствие пакетов","2020-11-30 00:31:11","2020-11-30 00:31:11",NULL,"6"
"33","загружена линия касс","2020-11-30 10:05:23","2020-11-30 10:05:23",NULL,"5"
"31","отсутствие на рабочем месте","2020-11-30 10:05:22","2020-11-30 10:05:22",NULL,"5"
"32","Проходы не свободны","2020-12-06 04:36:13","2020-12-06 04:36:13",NULL,"6"
"34","Нет стикера с ценой на фасовку","2021-01-22 13:02:21","2021-02-01 03:31:14",NULL,"2"
